DEPTH,Gamma Ray (GR),Deep Resisitivity (RT),Medium Resistivity (RM),Shallow Resistivity (RS),Density (RHOB),Neutron Porosity (NPHI),Total Porosity (PHIT),Effective Porosity (PHIE),Clay Volume (VCL),Permeability (Perm),Water Saturation (SW),Labels
0.3355767622637879,-0.0957177126895555,0.39171897965726593,0.41788935455616105,0.44995319698082814,-0.1540636025803265,-0.9308202579921805,-0.37071135544724215,-0.8381040724595442,0.9224756732643052,-0.3805078060365165,0.2225878030434704,2
0.3359577611851324,-0.22214374902633166,0.32143261790435457,0.3060328370852089,0.3512822877127818,-0.3895225398078914,-0.9530012923336528,-0.1977095084524458,-0.32952370486573046,0.16199824557655718,-0.3784528172530049,0.2225878030434704,2
0.33633876010647684,-0.38494112858310653,0.28406518507369305,0.4138112523566989,0.33076780019914426,-0.8362343552957089,-0.9973633610165974,0.13325054666803318,0.1401346958203935,-0.28347573576091,-0.36406789576842347,0.2225878030434704,2
0.3367197590278213,-0.32044449501283045,0.25659567343924816,0.37151550668799543,0.3359278860154582,-1.0738938433384895,-1.119359049894695,0.26488238677276943,0.05450636862347576,-0.05425125992706796,-0.37160285464129944,0.2225878030434704,2
0.3371007579491658,-0.20320538147386308,0.22022915398797901,0.3761761949159518,0.27602054824557265,-0.9022508797520384,-1.2280461181679088,0.08435872034341706,-0.3035757269272707,0.3703186025450495,-0.37913781351417547,0.2225878030434704,2
0.33748175687051024,-0.002679117800850324,0.2717205867278491,0.37734136697294074,0.36462299738422704,-0.2860966514929856,-1.1770297391825226,-0.37071135544724215,-0.7135537783549369,0.6802762271002447,-0.3805078060365165,0.2225878030434704,2
0.3378627557918547,0.08652879238064856,0.37815104273660904,0.4156755276478818,0.4783965968463622,0.3366592292117042,-0.8931124996116775,-0.7355195980232252,-1.2844092930010544,1.475353575668573,-0.3805078060365165,0.2225878030434704,2
0.3382437547131992,0.16616671129361874,0.3583552003441749,0.5408150065685091,0.45335130227449855,0.655739097417284,-0.8221331897189667,-0.9536523616253593,-1.2532717194749026,1.1733250996485098,-0.3805078060365165,0.2225878030434704,2
0.33862475363454475,0.04954588370739289,0.5009297506087829,0.4808086456335714,0.5653629212139902,0.5765192680696904,-1.0971780155532227,-1.0100660073845316,-1.1468850099272172,0.890038247438761,-0.3805078060365165,0.2225878030434704,2
0.3390057525558892,-0.0905698100830294,0.47023507364073924,0.4020430145811092,0.5077209869732178,0.27064270475537466,-0.9086392236507083,-0.6903886814158868,-0.7395017562933969,0.4186143254408585,-0.3805078060365165,0.2225878030434704,2
0.3393867514772337,-0.10794230125518349,0.31286924788066095,0.38759488107444456,0.3624834496067311,-0.03743440937414691,-1.2546633593776757,-0.5963659384839324,-0.7057693849733989,0.4460059294713179,-0.3805078060365165,0.2225878030434704,2
0.33976775039857815,-0.029359500761567233,0.26237872852018373,0.3217626598545616,0.37972568757831526,-0.2860966514929856,-1.1659392220117866,-0.3669504457299639,-0.9574647709764599,1.166116782798389,-0.3805078060365165,0.2225878030434704,2
0.3401487493199226,0.09523855971492758,0.3785958931274502,0.4816242660734639,0.5720332760497123,-0.1166542387217404,-1.068342670909309,-0.45721227894464006,-0.8718364437795422,0.9022923860839668,-0.3805078060365165,0.2225878030434704,2
0.3405297482412671,0.025163911571000525,0.5576481754410373,0.7092988860091307,0.7267099947875048,0.1364091050275098,-1.0572521537385726,-0.6490186745258267,-0.9055688150995401,0.7754260095218396,-0.3805078060365165,0.2225878030434704,2
0.34091074716261155,-0.0038148822140399736,0.6917705682796618,0.6143373633645202,0.8048664165419142,0.5105027436133609,-1.4254573238070125,-1.09656693088193,-1.0923942562564513,0.6889262073203896,-0.3805078060365165,0.2225878030434704,2
0.341291746083956,-0.14108108422225976,0.6661916708062925,0.6728290006253724,0.7433229540010028,0.64253579252602,-0.7489357763921083,-0.9122823547352993,-0.9055688150995401,0.5137641078624534,-0.3805078060365165,0.2225878030434704,2
0.34167274500530165,-0.1191453738988903,0.4650080815483549,0.5742554446040959,0.5264734939642112,0.6777446055693905,-0.7001375008408691,-0.9198041741698553,-0.8303196790780064,0.36527278074996467,-0.3805078060365165,0.2225878030434704,2
0.3420537439266461,-0.10864123320176172,0.4882515144698083,0.5121517739665776,0.5853739857211575,0.4576895240483051,-0.9064211202165613,-0.8333032506724574,-0.9782231533272278,0.7300136133660786,-0.3805078060365165,0.2225878030434704,2
0.3424347428479906,-0.15464305218566718,0.5415223487730431,0.5458252464135623,0.5955683016021678,0.1782195705165172,-0.8287875000214082,-0.585083209332098,-0.7680445320257027,0.577197296143517,-0.3805078060365165,0.2225878030434704,2
0.34281574176933505,-0.28606914014027013,0.4832469475728445,0.5496703142016262,0.5176635913509932,-0.25088783844960527,-0.9019849133482667,-0.28421043194984374,-0.12453467915189739,-0.2322966861250521,-0.3729728471636406,0.2225878030434704,2
0.3431967406906795,-0.4144306803291076,0.4256388219589082,0.5053937760360412,0.4622870606393343,-0.4687423691554849,-1.2457909456410865,-0.2578840639288968,-0.21794739973035296,-0.07083038868234565,-0.37639782846949327,0.2225878030434704,2
0.343577739612024,-0.3701493092137016,0.4553325855475589,0.4902465392951827,0.5060848622021913,-0.41812970040563485,-1.0372892228312474,-0.20899223760428015,-0.2906017379580408,0.08703175033530079,-0.37776782099183437,0.2225878030434704,2
0.34395873853336845,-0.337138215736866,0.5661003328670199,0.669683036071502,0.6842966064924393,-0.17166800910201177,-0.8775857755726474,-0.3331022582744604,-0.38141966074265027,0.128839988066001,-0.37913781351417547,0.2225878030434704,2
0.3443397374547129,-0.0996156023916254,0.7540496229974313,0.9601604298788805,0.8777368967283925,0.26404105230974756,-1.0261987056605113,-0.7355195980232252,-0.8744312415733883,0.6276555140943628,-0.3805078060365165,0.2225878030434704,2
0.3447207363760585,-0.02603957401532152,0.9322122045293361,1.0700361548529511,1.0570813427831967,0.4686922781243535,-0.9951452575824504,-0.8821950769970736,-1.2195393481549048,1.1754875947035457,-0.3805078060365165,0.2225878030434704,2
0.34510173529740296,0.15905642283708507,1.0865752901512362,1.1418107535634785,1.2341603853088872,0.4686922781243535,-0.7489357763921083,-0.7768896049132847,-1.1442902121333711,1.1279127034927487,-0.3805078060365165,0.2225878030434704,2
